Region,Fuel,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
North_America_excluding_US,Oil,2.96,3.11,3.32,3.56,3.71,3.97,4.11,4.39,4.77,4.98,5.07,5.30,5.38,5.70,5.99,6.14,6.14,5.87,5.61,5.78,5.90,6.00,6.24,6.41,6.75,6.60,6.55,6.67,6.71,7.04,6.97,7.13,7.36,7.62,7.66,7.81,7.86,7.85,8.10,8.45,8.41,8.41,8.68,8.51,8.26,8.48,8.55,8.68,8.54,8.36,8.33,8.35,8.17,8.24,7.93,6.58,6.73
US,Oil,23.09,24.23,25.16,26.85,28.19,29.43,30.46,32.83,34.76,33.38,32.58,35.03,36.98,37.81,36.93,34.03,31.73,30.06,29.92,30.86,30.75,32.24,32.91,34.28,34.26,33.50,32.79,33.47,33.75,34.63,34.55,35.81,36.29,36.90,37.93,38.35,38.29,38.31,38.89,40.31,40.37,39.86,39.61,36.99,35.05,35.61,34.90,34.10,34.66,34.90,35.61,35.86,36.21,37.08,37.02,32.52,35.33
Central_and_South_America,Oil,3.65,3.84,3.95,4.22,4.38,4.62,4.86,5.24,5.74,5.93,5.93,6.19,6.46,6.71,7.01,7.16,7.08,6.83,6.58,6.58,6.52,6.84,7.02,7.18,7.18,7.13,7.20,7.70,7.79,8.34,8.61,8.77,9.33,9.73,9.86,9.86,9.92,9.93,9.76,10.09,10.33,10.54,11.11,11.38,11.23,11.81,12.27,12.68,13.12,13.11,12.74,12.28,12.16,11.77,11.65,10.26,11.31
Europe,Oil,17.93,19.68,21.36,23.49,26.16,29.00,30.43,32.57,34.90,32.86,31.72,33.88,33.58,35.28,36.09,33.66,31.36,29.84,29.01,29.18,32.64,33.64,33.80,33.97,33.85,34.50,34.20,33.31,32.55,32.39,33.01,33.36,33.64,34.32,33.82,33.40,33.86,33.75,33.94,34.26,34.50,34.59,33.91,33.53,31.88,31.51,30.67,29.62,29.09,28.53,29.25,29.94,30.47,30.40,30.28,26.25,27.57
CIS,Oil,7.18,7.69,8.38,8.93,9.50,10.46,11.09,12.02,12.93,14.20,14.88,15.30,15.91,16.88,17.18,18.01,18.16,18.03,17.77,17.77,14.11,14.29,14.32,14.23,14.34,14.41,13.97,12.95,10.69,9.26,8.16,7.17,7.07,6.78,6.81,6.74,6.79,6.63,6.91,6.84,6.85,7.23,7.23,7.37,7.04,7.25,7.88,8.11,8.02,8.34,8.00,8.23,8.21,8.43,8.57,8.03,8.47
Middle_East,Oil,1.77,1.81,1.89,1.95,2.03,2.15,2.31,2.45,2.66,2.83,2.71,3.09,3.51,3.67,4.15,3.97,4.34,4.76,5.32,5.82,6.12,6.08,6.39,6.63,6.81,7.03,7.27,7.74,8.28,9.10,9.05,9.25,9.72,9.67,9.65,10.14,10.57,10.82,11.18,11.93,12.42,12.93,13.27,14.24,14.46,14.97,15.56,16.22,16.69,17.02,16.85,17.13,17.18,17.37,17.04,15.70,16.30
Africa,Oil,1.23,1.33,1.33,1.40,1.43,1.56,1.70,1.84,1.98,2.04,2.15,2.35,2.50,2.64,2.78,2.94,3.18,3.33,3.47,3.53,3.63,3.56,3.75,3.91,4.05,4.11,4.14,4.21,4.25,4.40,4.56,4.66,4.80,4.91,5.09,5.11,5.16,5.32,5.49,5.71,5.96,6.03,6.25,6.57,6.79,7.08,6.96,7.37,7.64,7.72,7.92,7.96,8.04,8.13,8.14,7.24,7.86
China,Oil,0.46,0.60,0.59,0.64,0.86,1.20,1.63,1.87,2.28,2.62,2.89,3.31,3.50,3.88,3.89,3.50,3.32,3.28,3.35,3.47,3.64,3.87,4.11,4.43,4.64,4.59,4.96,5.39,5.99,6.09,6.57,7.28,8.00,8.24,8.77,9.46,9.66,10.42,11.65,13.60,13.82,14.82,15.53,15.87,16.49,18.77,19.41,20.36,21.27,22.11,23.80,24.56,25.86,27.12,28.49,28.74,30.60
India,Oil,0.53,0.59,0.61,0.68,0.82,0.82,0.88,0.94,1.00,0.98,1.00,1.06,1.13,1.23,1.33,1.36,1.46,1.52,1.60,1.72,1.86,1.96,2.02,2.22,2.40,2.50,2.54,2.68,2.71,2.91,3.24,3.50,3.74,4.01,4.40,4.61,4.63,4.72,4.81,5.09,5.18,5.47,5.84,6.14,6.46,6.60,6.91,7.33,7.38,7.59,8.20,8.99,9.26,9.68,9.99,9.08,9.41
Asia_Pacific_excluding_India_and_China,Oil,5.96,6.74,8.04,9.23,10.58,12.22,13.32,14.24,16.11,15.66,15.25,16.01,16.79,17.64,18.10,17.09,16.54,15.94,15.94,16.53,16.02,16.44,16.85,18.33,19.47,21.02,21.78,23.24,23.94,25.51,27.26,28.20,29.14,27.74,28.53,28.88,28.99,29.24,29.76,30.29,30.19,29.96,30.51,29.83,29.27,30.34,30.79,31.98,31.87,31.72,32.18,33.05,33.51,33.48,33.00,29.77,30.64
World,Oil,64.76,69.63,74.64,80.96,87.67,95.42,100.78,108.40,117.13,115.48,114.18,121.51,125.74,131.44,133.43,127.85,123.31,119.47,118.58,121.25,121.18,124.92,127.42,131.59,133.76,135.39,135.40,137.35,136.66,139.66,141.99,145.13,149.09,149.92,152.53,154.37,155.72,156.99,160.49,166.57,168.02,169.82,171.93,170.42,166.94,172.42,173.91,176.44,178.27,179.40,182.87,186.34,189.06,191.70,192.13,174.17,184.21
North_America_excluding_US,Natural_Gas,1.07,1.16,1.17,1.29,1.48,1.61,1.70,1.90,2.03,2.07,2.13,2.14,2.25,2.39,2.55,2.59,2.61,2.78,2.72,2.91,3.03,2.85,2.89,3.10,3.26,3.26,3.33,3.47,3.62,3.77,3.89,3.95,4.02,4.04,4.25,4.50,4.33,4.63,4.83,4.89,5.05,5.23,5.43,5.49,5.58,5.67,6.17,6.23,6.60,6.79,6.88,6.77,7.05,7.32,7.39,7.09,7.47
US,Natural_Gas,14.97,16.14,17.04,18.24,19.63,20.70,21.34,21.55,21.38,20.64,18.94,19.32,18.93,18.99,19.62,19.21,18.75,17.43,16.35,17.47,16.81,15.75,16.75,17.52,18.61,18.61,19.02,19.67,20.16,20.63,21.53,21.92,22.05,21.68,21.75,22.62,21.62,22.32,21.68,21.77,21.43,21.12,22.47,22.64,22.23,23.33,23.70,24.77,25.45,26.00,26.77,26.97,26.64,29.58,30.62,29.95,29.76
Central_and_South_America,Natural_Gas,0.53,0.57,0.61,0.64,0.66,0.68,0.69,0.73,0.83,0.87,0.87,1.02,1.10,1.13,1.22,1.30,1.34,1.49,1.54,1.66,1.70,1.83,1.84,2.00,2.07,2.14,2.18,2.24,2.41,2.53,2.79,3.09,3.15,3.38,3.33,3.54,3.71,3.75,3.95,4.41,4.58,4.95,5.08,5.09,4.89,5.30,5.48,5.82,6.02,6.21,6.40,6.27,6.33,6.07,5.86,5.30,5.88
Europe,Natural_Gas,1.36,1.55,1.85,2.40,3.09,3.91,4.81,5.86,6.66,7.54,8.09,8.80,9.22,9.59,10.12,10.11,10.01,9.82,10.21,10.70,14.50,14.87,15.52,15.66,16.09,17.38,17.59,16.63,16.71,16.23,17.15,19.00,18.56,18.83,19.58,20.11,20.50,20.57,21.50,22.02,22.59,22.42,22.23,22.53,20.79,22.43,20.90,20.37,19.96,18.00,18.33,19.35,20.12,19.71,19.96,19.51,20.56
CIS,Natural_Gas,4.38,4.89,5.38,5.81,6.21,6.82,7.46,7.84,8.53,9.04,9.87,10.86,11.64,12.41,13.17,13.57,14.37,15.52,16.64,18.16,15.63,16.04,16.91,17.82,18.22,18.40,18.74,18.19,18.01,16.91,16.41,16.60,15.39,15.97,16.14,16.26,16.68,16.79,17.08,17.67,17.95,18.66,19.05,18.69,17.92,19.05,19.70,19.55,19.26,19.36,18.99,19.31,19.75,20.87,20.65,19.80,21.99
Middle_East,Natural_Gas,0.14,0.17,0.20,0.26,0.31,0.34,0.38,0.43,0.52,0.55,0.61,0.66,0.77,0.84,1.14,1.14,1.24,1.38,1.41,1.82,1.96,2.37,2.60,2.89,3.26,3.44,3.60,4.12,3.86,4.46,4.91,5.12,5.41,5.84,6.23,6.60,7.01,7.73,8.11,8.94,9.59,10.15,11.01,12.14,12.49,13.70,14.35,14.80,15.24,16.11,17.26,18.04,18.61,19.08,19.59,20.05,20.72
Africa,Natural_Gas,0.03,0.04,0.04,0.04,0.04,0.06,0.07,0.09,0.14,0.16,0.19,0.22,0.25,0.35,0.54,0.67,0.82,0.89,0.98,0.94,1.00,1.13,1.16,1.29,1.34,1.44,1.45,1.52,1.49,1.55,1.66,1.74,1.71,1.80,1.81,2.00,2.28,2.41,2.56,2.82,2.91,3.04,3.24,3.37,3.39,3.53,3.82,4.13,4.21,4.33,4.77,4.93,5.22,5.56,5.58,5.53,5.92
China,Natural_Gas,0.04,0.05,0.05,0.05,0.07,0.10,0.14,0.18,0.22,0.27,0.32,0.37,0.44,0.50,0.53,0.52,0.46,0.43,0.44,0.45,0.47,0.50,0.50,0.52,0.55,0.56,0.56,0.57,0.61,0.64,0.64,0.67,0.71,0.73,0.78,0.89,1.00,1.06,1.23,1.44,1.69,2.08,2.56,2.95,3.25,3.92,4.87,5.43,6.19,6.78,7.01,7.54,8.69,10.22,11.10,12.12,13.63
India,Natural_Gas,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.05,0.05,0.06,0.07,0.04,0.07,0.09,0.11,0.13,0.16,0.22,0.25,0.29,0.35,0.42,0.46,0.52,0.53,0.57,0.65,0.71,0.77,0.85,0.87,0.91,0.92,0.96,1.02,1.10,1.24,1.29,1.40,1.44,1.77,2.12,2.17,2.01,1.76,1.75,1.72,1.83,1.93,2.09,2.13,2.18,2.24
Asia_Pacific_excluding_India_and_China,Natural_Gas,0.15,0.17,0.19,0.22,0.28,0.39,0.45,0.51,0.63,0.80,0.90,1.05,1.31,1.60,1.87,2.09,2.15,2.26,2.52,3.02,3.29,3.56,3.78,4.03,4.17,4.49,4.97,5.31,5.57,6.09,6.35,6.97,7.54,7.65,8.32,8.94,9.49,9.90,10.66,11.14,11.76,12.44,13.08,13.74,13.54,14.67,15.29,16.39,16.73,16.87,17.04,17.01,17.18,17.59,,,
World,Natural_Gas,22.69,24.73,26.55,28.96,31.80,34.61,37.06,39.10,40.96,41.98,41.98,44.47,45.94,47.86,50.82,51.25,51.83,52.09,52.93,57.25,58.54,59.12,62.21,65.12,67.92,70.13,71.90,72.23,72.96,73.40,75.98,79.77,79.31,80.76,83.06,86.38,87.54,90.11,92.63,96.20,98.78,101.38,105.54,108.08,105.84,113.72,116.42,119.50,121.43,122.20,125.17,128.02,131.51,138.08,140.63,138.44,145.35
North_America_excluding_US,Coal,0.68,0.67,0.67,0.72,0.70,0.75,0.73,0.70,0.72,0.74,0.73,0.83,1.07,0.90,0.86,1.03,1.03,1.10,1.17,1.29,1.25,1.18,1.25,1.33,1.34,1.28,1.24,1.26,1.15,1.24,1.31,1.37,1.42,1.50,1.46,1.55,1.63,1.84,1.71,1.64,1.73,1.73,1.74,1.63,1.44,1.57,1.55,1.42,1.40,1.35,1.36,1.29,1.43,1.22,1.15,0.76,0.71
US,Coal,11.61,12.17,11.94,12.36,12.41,12.29,11.63,12.10,13.00,12.69,12.69,13.62,13.95,13.80,15.07,15.46,15.94,15.36,15.93,17.11,17.52,17.30,18.05,18.89,19.11,19.22,19.04,19.17,19.88,19.96,20.13,21.05,21.49,21.71,21.67,22.63,21.96,21.95,22.37,22.52,22.85,22.50,22.80,22.44,19.74,20.88,19.70,17.42,18.08,18.04,15.58,14.26,13.87,13.28,11.34,9.20,10.57
Central_and_South_America,Coal,0.24,0.24,0.26,0.25,0.27,0.30,0.28,0.27,0.28,0.31,0.33,0.33,0.37,0.40,0.42,0.45,0.44,0.45,0.50,0.57,0.66,0.67,0.74,0.73,0.79,0.66,0.70,0.74,0.74,0.79,0.80,0.82,0.89,0.87,0.86,0.88,0.83,0.83,0.88,0.93,0.87,1.01,1.08,1.15,0.97,1.17,1.25,1.31,1.44,1.51,1.48,1.44,1.41,1.39,1.42,1.31,1.46
Europe,Coal,21.94,21.05,20.37,20.68,20.95,20.61,19.73,19.06,19.36,19.19,18.74,19.62,19.57,19.93,20.80,21.19,20.83,20.95,21.24,21.21,26.06,25.84,26.05,25.51,25.20,24.00,22.61,21.28,19.89,18.75,18.54,18.02,17.52,17.04,16.09,16.56,16.41,16.40,17.06,16.77,16.38,17.15,17.38,16.38,14.67,15.34,15.98,16.34,15.80,14.84,14.20,13.69,13.04,12.91,11.02,9.48,10.01
CIS,Coal,12.45,12.91,13.11,12.99,13.18,13.07,13.33,13.71,13.85,13.92,14.32,14.30,14.56,14.47,14.58,14.13,14.04,14.26,14.29,14.16,10.28,10.61,10.80,10.72,10.35,9.62,8.91,8.39,7.57,6.77,6.26,6.05,5.52,5.21,5.18,5.28,5.33,5.38,5.50,5.39,5.18,5.35,5.33,5.74,5.26,5.29,5.57,5.84,5.52,5.39,5.45,5.33,5.22,5.56,5.45,5.08,5.17
Middle_East,Coal,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.05,0.05,0.05,0.03,0.05,0.05,0.04,0.08,0.10,0.11,0.12,0.13,0.13,0.13,0.12,0.13,0.15,0.17,0.20,0.21,0.22,0.26,0.28,0.30,0.30,0.32,0.36,0.38,0.40,0.40,0.41,0.41,0.42,0.40,0.40,0.42,0.43,0.50,0.47,0.47,0.44,0.41,0.40,0.39,0.40,0.36,0.34
Africa,Coal,1.16,1.16,1.19,1.24,1.25,1.30,1.38,1.38,1.47,1.53,1.62,1.73,1.77,1.72,1.83,1.96,2.29,2.52,2.57,2.75,2.83,2.90,2.98,3.20,3.01,3.16,3.07,3.09,3.14,3.22,3.32,3.37,3.45,3.37,3.48,3.47,3.51,3.36,3.66,4.03,3.74,3.79,3.86,4.25,4.23,4.19,4.13,4.03,4.07,4.26,4.03,4.27,4.27,4.19,4.43,4.17,4.21
China,Coal,4.79,5.12,4.56,4.52,5.46,6.95,8.01,8.47,8.58,8.49,9.57,9.80,10.78,11.84,12.25,12.74,12.67,13.41,14.36,15.62,17.05,17.83,19.34,20.78,21.77,22.08,23.16,24.23,25.81,27.51,27.85,29.14,28.55,28.34,29.16,29.56,31.09,34.08,40.62,47.36,55.46,60.91,66.33,67.38,70.58,73.22,79.71,80.71,82.43,82.48,80.92,80.19,80.56,81.05,81.70,82.38,86.17
India,Coal,1.49,1.48,1.51,1.56,1.66,1.57,1.59,1.68,1.66,1.88,2.02,2.10,2.20,2.13,2.26,2.37,2.67,2.64,2.80,2.95,3.09,3.32,3.64,3.91,4.25,4.59,4.89,5.18,5.36,5.53,5.87,6.04,6.32,6.53,6.47,6.88,6.94,7.25,7.59,8.08,8.84,9.18,10.04,10.87,11.83,12.14,12.76,14.02,14.87,16.36,16.55,16.88,17.44,18.58,18.59,17.40,20.09
